delta = 0.01 GeV, , ,delta = 0.1 GeV, , ,delta = 1 GeV, , ,delta = 10 GeV, 
mDM, coup prod 1, coup prod 2,mDM, coup prod 1, coup prod 2,mDM, coup prod 1, coup prod 2,mDM, coup prod 1, coup prod 2,
1e-05,0.0005483157363197007,0.0004830909518883865,1e-05,0.000540978053176138,0.0005348584618626409,1e-05,10000000000.0,10000000000.0,1e-05,10000000000.0,10000000000.0,
0.0001,0.0013031943272276449,0.0010796743149451143,0.0001,0.0009828062815052936,0.0008761425996362135,0.0001,0.19560963747676807,0.00270822684517195,0.0001,10000000000.0,10000000000.0,
0.001,0.004293146045960724,0.0031755128186213267,0.001,0.003180154006442371,0.002384649836303164,0.001,0.0028138727182773324,0.0015582123724819977,0.001,10000000000.0,10000000000.0,
0.01,0.013592832542023411,0.013394005799171129,0.01,0.014263547977555758,0.011168137567696286,0.01,0.007894926767885842,0.0039050385603970933,0.01,0.7941514700418308,0.011128897905943664,
0.1,0.023904725800639636,0.024810989040470004,0.1,0.025974383610703772,0.02485031491539926,0.1,0.2771356829647194,0.02987763378839266,0.1,1.5077064531299484,0.18509133504879455,
1.0,0.09024770022589426,0.09486364154830533,1.0,0.09749030703986586,0.09898883066416883,1.0,0.4850993572543251,0.14154925374274985,1.0,1.419595790343346,0.06113759430892202,
10.0,0.16438896490935212,0.2728161489724287,10.0,0.2978849326685675,0.2444705575580213,10.0,1.2246911303325707,0.15415111880325097,10.0,19.672074541249543,0.6524793577075212,
100.0,2.9338971728494863,0.99554299309328,100.0,1.5005630276049087,0.8569000543050306,100.0,2.42473608341284,0.38597034022058646,100.0,25.152425923156336,2.5057242109421924,
1000.0,5.0443558827711525,6.97163339748302,1000.0,8.576764246603357,5.913023144531164,1000.0,16.653643075822373,2.2315508674314737,1000.0,369.64176446868737,20.61687108706284,
10000.0,10000000000.0,599747936.1860259,10000.0,10000000000.0,347419186.1841512,10000.0,10000000000.0,2559637.671618483,10000.0,10000000000.0,20588909962.375072,
