delta = 0.01 GeV, , ,delta = 0.1 GeV, , ,delta = 1 GeV, , ,delta = 10 GeV, 
mDM, coup prod 1, coup prod 2,mDM, coup prod 1, coup prod 2,mDM, coup prod 1, coup prod 2,mDM, coup prod 1, coup prod 2,
1e-05,329.66455149585676,261.2333469678672,1e-05,338.5035693995031,267.1592676206277,1e-05,10000000000.0,10000000000.0,1e-05,10000000000.0,10000000000.0,
0.0001,378.1131896405733,299.1133786146103,0.0001,377.7681493401349,297.3664752413897,0.0001,447.64281815581285,350.00620326254,0.0001,10000000000.0,10000000000.0,
0.001,371.15010692679743,302.2085368073171,0.001,378.7235617616313,302.4384007886184,0.001,437.6344134087564,347.09801022435926,0.001,10000000000.0,10000000000.0,
0.01,347.8612772351617,315.6885125366486,0.01,389.74874061627696,315.81465616762375,0.01,401.203404258881,317.6523813534402,0.01,1922.4940682430315,838.8706063683562,
0.1,330.80268452064314,330.20618478588113,0.1,366.5849843704273,330.1641315028012,0.1,412.8990867612623,330.856054575751,0.1,732.4993216427482,484.67895902089987,
1.0,343.4503779749252,346.69409233275627,1.0,349.5627838690792,346.8256028207004,1.0,395.20544360959593,349.85859664562946,1.0,740.9910405362372,475.08290020793515,
10.0,566.0518121175329,546.6716715517159,10.0,539.2355261490965,548.7768161513127,10.0,592.2177513199448,573.577205956292,10.0,1540.6348310749825,982.8048374882338,
100.0,2070.0935334906244,2091.9397873421035,100.0,2002.2796269807798,2056.97429452871,100.0,2339.350781463944,1806.2046861888502,100.0,4943.888477647883,2127.3340817629146,
1000.0,1513223881.381112,4462.87657600913,1000.0,5752.939015165417,3924.230644638568,1000.0,7873.082129925954,2168.9504314582027,1000.0,132838.4976939231,10507.937797678056,
10000.0,10000000000.0,276831738736.5554,10000.0,2588313887658.2275,162421401733.75226,10000.0,6806360557253.244,1058182936.7110658,10000.0,10000000000.0,4458735293317.451,
