delta = 0.01 GeV, , ,delta = 0.1 GeV, , ,delta = 1 GeV, , ,delta = 10 GeV, 
mDM, coup prod 1, coup prod 2,mDM, coup prod 1, coup prod 2,mDM, coup prod 1, coup prod 2,mDM, coup prod 1, coup prod 2,
1e-05,0.0001232292674320259,0.00010880305546667217,1e-05,0.000310629699104661,0.0003155420212895356,1e-05,0.19554730136235288,0.003222737025073702,1e-05,10000000000.0,10000000000.0,
0.0001,5.30435280767498e-05,3.924596528120487e-05,0.0001,9.542704794405803e-05,7.917220910578762e-05,0.0001,0.0013953269787786962,0.00080029283737897,0.0001,10000000000.0,10000000000.0,
0.001,4.182817448381777e-05,3.0249470582623756e-05,0.001,9.467857916245366e-05,1.99699757382744e-05,0.001,0.1962339390992949,0.00014140682582547767,0.001,12.298023893573315,0.0037415928286442415,
0.01,7.345981344442586e-05,4.724428307806243e-05,0.01,0.00028336196434605514,1.7731552013888308e-05,0.01,0.20257236875422371,2.482422425367391e-05,0.01,12.311660886172671,0.0006111471959743487,
0.1,0.00019924258384366683,0.00016352110072022342,0.1,0.0006697953852757547,3.6202948608224364e-05,0.1,0.2771356829647194,1.0781998000510248e-05,0.1,12.446672918702577,0.00020427536850632066,
1.0,0.0014546764184361924,0.0005482233301588152,1.0,0.021081157970077674,9.203212897800729e-05,1.0,0.7256354273807749,8.899677610075549e-05,1.0,13.672513437905708,1.886886808484177e-05,
10.0,0.013850331130035665,0.00346604278598649,10.0,0.03812687722262165,0.0002940349736776726,10.0,1.2246911303325707,0.00016027762824680596,10.0,10000000000.0,0.00044663473256734463,
100.0,0.16707662704673815,0.041315295994763176,100.0,0.5317651541605874,0.0037613002308466577,100.0,31.98540601036901,0.0015404876514388212,100.0,10000000000.0,0.0008395861735020499,
1000.0,101419849.28002334,0.49565919280768506,1000.0,137.99872835480477,0.025419840312333453,1000.0,10000000000.0,0.008079239118489892,1000.0,10000000000.0,0.004423301764517584,
10000.0,10000000000.0,8.46987989671535,10000.0,10000000000.0,0.293219749416207,10000.0,10000000000.0,0.09488931571510714,10000.0,10000000000.0,0.04618540302654424,
