delta = 0.01 GeV, , ,delta = 0.1 GeV, , ,delta = 1 GeV, , ,delta = 10 GeV, 
mDM, coup prod 1, coup prod 2,mDM, coup prod 1, coup prod 2,mDM, coup prod 1, coup prod 2,mDM, coup prod 1, coup prod 2,
1e-05,0.020867622901097352,0.02115256558256902,1e-05,0.025180180217229016,0.026217863844498677,1e-05,inf,inf,1e-05,inf,inf,
0.0001,0.0204613260436937,0.020606097600942327,0.0001,0.020074742379030067,0.020814803433203292,0.0001,7.002243626176331,0.09398701846326335,0.0001,inf,inf,
0.001,0.02107424366157925,0.020639272276234924,0.001,0.02043810776188524,0.020839360265839917,0.001,107.30529622458374,0.020927090785483545,0.001,inf,inf,
0.01,0.022784577548738316,0.02155119052913945,0.01,0.024857565778194493,0.020675585669404695,0.01,4.702308003088907,0.030174924790401212,0.01,236.19528784994853,0.09164391012059728,
0.1,0.02481061344222127,0.014614579331928102,0.1,0.0572686154108914,0.04126587138331268,0.1,4.056804919422243,0.1069624072911361,0.1,inf,0.4098042779093617,
1.0,0.09168926736697361,0.02068955735225962,1.0,0.1009072739542009,0.1117819205010965,1.0,16491.28059051183,0.25444380743723694,1.0,inf,1.153461708520182,
10.0,0.15598487715983791,0.07380980850227974,10.0,0.2954138560835912,0.33202256326258917,10.0,inf,0.908344825577483,10.0,inf,3.8852208467939344,
100.0,1.554362017272935,0.26111878534711347,100.0,1.3552561346781418,1.379327527535398,100.0,4.877805726227518,5.1876702029113355,100.0,91.03878397227302,82.63885525887436,
1000.0,5380089.906916113,1.6698908824402579,1000.0,13.703108674737118,10.253657472379658,1000.0,281.0314034434086,130.55990322829317,1000.0,inf,inf,
10000.0,inf,3819964.4828792373,10000.0,inf,3794186790.115294,10000.0,inf,inf,10000.0,inf,inf,
