delta = 0.01 GeV, , ,delta = 0.1 GeV, , ,delta = 1 GeV, , ,delta = 10 GeV, 
mDM, coup prod 1, coup prod 2,mDM, coup prod 1, coup prod 2,mDM, coup prod 1, coup prod 2,mDM, coup prod 1, coup prod 2,
1e-05,67.90295383579736,69.03268361264759,1e-05,74.64659808426929,76.02507315074166,1e-05,inf,inf,1e-05,inf,inf,
0.0001,44.29833698334904,44.855568695783184,0.0001,44.40137943867459,44.94481586399064,0.0001,74.65825024182607,74.9508615364661,0.0001,inf,inf,
0.001,29.485389856151563,29.880328836088992,0.001,29.55355993694971,29.920358693739036,0.001,36.095840216398585,36.20985685472549,0.001,inf,inf,
0.01,18.711684187861156,19.02904320897035,0.01,18.769998235959203,19.046750729135805,0.01,100.64716645336105,19.819207834029083,0.01,10531.744086449105,47.01739051427192,
0.1,14.293264846280609,14.81751976166704,0.1,14.488472316512869,14.839450910412504,0.1,41.34076172195392,14.995791879915613,0.1,38741.55464111365,41.01334093417257,
1.0,11.50766520456688,13.041701918468986,1.0,12.0922750729157,13.41089923711111,1.0,50.546475254787595,17.56100805299347,1.0,98.80774774165278,66.15767483243955,
10.0,16.49484607046208,8.695477372040857,10.0,18.36598903154182,20.18573191940818,10.0,55.616965943689905,53.33332941957951,10.0,293.816160577541,213.9061413591094,
100.0,93.85658479783181,16.410791515160426,100.0,84.29656428809966,78.56072875188757,100.0,273.81651556737336,289.4758254357959,100.0,4389.542903269573,3837.1116991060985,
1000.0,1386.4679247377524,100.30274936296668,1000.0,511.9669461834723,574.8539793856891,1000.0,5026.401646919577,6091.715772764774,1000.0,inf,inf,
10000.0,inf,163509293.77180818,10000.0,155001707711.7239,171187098832.53802,10000.0,inf,inf,10000.0,inf,inf,
