delta = 0.01 GeV, , ,delta = 0.1 GeV, , ,delta = 1 GeV, , ,delta = 10 GeV, ,
mDM, coup prod 1, coup prod 2,mDM, coup prod 1, coup prod 2,mDM, coup prod 1, coup prod 2,mDM, coup prod 1, coup prod 2
1.00E-05,104.1678739,87.61279899,1.00E-05,102.3379564,87.6446408,1.00E-05,104.5144571,89.89974615,1.00E-05,438.3899785,17404.91756
0.0001,108.4254992,90.86647011,0.0001,106.7044228,90.90663145,0.0001,106.9984168,91.31428506,0.0001,132.1285738,115.8196451
0.001,111.4264577,94.36526856,0.001,111.2172103,94.40493625,0.001,111.2563107,94.50482581,0.001,115.1564176,98.10779743
0.01,111.9889245,103.3261479,0.01,121.2740813,103.3611681,0.01,122.999326,103.4159902,0.01,124.7359507,104.2180142
0.1,132.7743183,132.9396211,0.1,144.6291876,132.9501988,0.1,159.4400446,132.9992713,0.1,164.4794236,133.8464958
1,203.3745915,204.1802385,1,203.5503943,204.1810659,1,224.4993556,204.2398351,1,263.0568524,208.5032625
10,432.0786163,444.5250124,10,434.6106623,444.8388592,10,447.89996,447.6054292,10,572.561068,485.6610453
100,5795.033322,10789.19815,100,10844.75301,10814.73368,100,10901.60058,10959.13865,100,13318.88039,11238.91372
1000,81874.16969,56256.90625,1000,105578.6534,56132.09962,1000,309818.421,78662.65641,1000,64488.06263,49870.71037
10000,1.82007E+15,320949.4528,10000,235487.3805,320045.7715,10000,320743.7978,311669.3968,10000,1032448.363,268545.6855
