delta = 0.01 GeV, , ,delta = 0.1 GeV, , ,delta = 1 GeV, , ,delta = 10 GeV, 
mDM, coup prod 1, coup prod 2,mDM, coup prod 1, coup prod 2,mDM, coup prod 1, coup prod 2,mDM, coup prod 1, coup prod 2,
1e-05,0.0001132303952561489,0.00010567863495722688,1e-05,0.00016329954068927173,0.00016573645159273138,1e-05,0.00045139048619340154,0.002185633261791093,1e-05,12.64648788291435,0.011537650792815657,
0.0001,8.573296328368424e-05,6.88316969526728e-05,0.0001,0.0001035633765223077,8.53425474232676e-05,0.0001,0.00042003461653174423,0.00019533660077644856,0.0001,12.646628289026935,0.004306423306128237,
0.001,9.62999554035272e-05,7.046038938230769e-05,0.001,0.00018983473273818157,4.444557890021177e-05,0.001,0.20181886161051674,0.00010397570265245584,0.001,12.648032209168548,0.001298984647198793,
0.01,0.00023068639120590623,0.00018917835538403733,0.01,0.0005899555277360885,6.048862770871772e-05,0.01,0.20833768635218783,5.9360320512368166e-05,0.01,12.662057317846617,0.000321684081255578,
0.1,0.0007668448686080849,0.0007198086744307745,0.1,0.0014110263683824553,0.0005699766740300958,0.1,0.2850231122318316,0.00011578430324580729,0.1,12.800911864791832,0.0006475918750553559,
1.0,0.0055454209332309315,0.00435512726235086,1.0,0.021681138963427327,0.002111520592832624,1.0,0.7462873984512243,0.0015394563260256243,1.0,14.06164045861798,0.0008989893378608804,
10.0,0.022261855775360568,0.019991286262904577,10.0,0.035737706844746926,0.009208551698386665,10.0,1.2595464927356417,0.005925324171029775,10.0,20.231952269088794,0.003530561141118828,
100.0,0.1264132812791058,0.11510223501019767,100.0,0.17362372988488498,0.05052253942245082,100.0,1.389525909371286,0.027168771335584346,100.0,25.86827737268054,0.02192147926950789,
1000.0,1.8621127228912904,0.6635792127169351,1000.0,1.0612404458911513,0.2869272251447563,1000.0,3.115539304173666,0.1459010322905681,1000.0,10000000000.0,0.09534191110491555,
10000.0,165107677862.778,3.9571139356357197,10000.0,10.691857735814203,1.6420524176186793,10000.0,10000000000.0,0.8259501164051893,10000.0,10000000000.0,0.5145209914066331,
