delta = 0.01 GeV, , ,delta = 0.1 GeV, , ,delta = 1 GeV, , ,delta = 10 GeV, 
mDM, coup prod 1, coup prod 2,mDM, coup prod 1, coup prod 2,mDM, coup prod 1, coup prod 2,mDM, coup prod 1, coup prod 2,
1e-05,1235.8171995005553,1179.5872933088363,1e-05,1236.2794247452891,1191.1544661446017,1e-05,2134.536107968019,93754.84949584189,1e-05,750975.1768520421,17404.917563881183,
0.0001,715.4041327412714,694.2341437745013,0.0001,718.5936591774661,689.9788960436346,0.0001,828.3675173075352,826.0187160387969,0.0001,750978.8389193659,17404.816420304796,
0.001,390.82726312753033,387.38673941272526,0.001,393.4102576785011,386.634398268272,0.001,432.1622510852645,378.2644423180305,0.001,1013.7864730500894,601.5982444907455,
0.01,214.70983936724483,215.9115028630495,0.01,221.8498019776761,215.64669567901134,0.01,244.70327773798007,195.32480293547175,0.01,414.32794905760943,193.30426789926494,
0.1,125.42939058185085,127.89616514460953,0.1,128.79500421822084,127.52503426812885,0.1,148.78064201141748,113.56446745822261,0.1,289.81482728509604,64.37925010815228,
1.0,85.75626257843383,87.26468816940779,1.0,87.07476705090599,86.20540582511332,1.0,105.83083328320603,73.61302246032488,1.0,335.0823622328109,33.40293580394482,
10.0,104.38029861923451,105.77989160560598,10.0,110.11142892927495,100.00714609462699,10.0,170.21625430906082,63.70066923664486,10.0,921527.6100911798,27.445659164293684,
100.0,320.1493278681567,437.3664719719003,100.0,498.9529574848656,377.46813510793265,100.0,1146.4023149051181,134.3017301682164,100.0,1016460.0843417555,44.15297610535578,
1000.0,2772.94148374288,2841.352243085838,1000.0,3245.5023609667433,2290.7962527779696,1000.0,309818.42100564815,740.16775299001,1000.0,10000000000.0,206.18121127152978,
10000.0,2950700168312506.5,20188.23466771836,10000.0,26337.32753526259,12922.21262023138,10000.0,10000000000.0,4722.064481429473,10000.0,10000000000.0,1166.399122744885,
