delta = 0.01 GeV, , ,delta = 0.1 GeV, , ,delta = 1 GeV, , ,delta = 10 GeV, 
mDM, coup prod 1, coup prod 2,mDM, coup prod 1, coup prod 2,mDM, coup prod 1, coup prod 2,mDM, coup prod 1, coup prod 2,
1e-05,68.66743892517208,69.83616573607719,1e-05,73.61122532762175,74.73721424881973,1e-05,109.8357253406455,111.87828888838403,1e-05,628.2809903040711,628.4789357588513,
0.0001,38.73790628085035,39.238372077201085,0.0001,41.34399458646697,41.90269785523552,0.0001,61.03551403748192,61.89892222195603,0.0001,199.29506621312385,197.1972602745829,
0.001,23.0815369010975,23.341690838956914,0.001,23.875587842114808,23.799856977612215,0.001,34.30056862776603,34.77191070046377,0.001,101.19153126880978,95.89861978195245,
0.01,17.918351483928145,18.22101522038308,0.01,17.568994595139966,17.94928190437133,0.01,90.92410017785029,20.042410568000488,0.01,5489.963876790595,50.517175564981734,
0.1,17.08453494968607,17.34426784039625,0.1,17.067405657379936,17.414713707696954,0.1,62.08809298318985,18.672209504185947,0.1,19488.198678679088,42.53961305890465,
1.0,35.85119341412131,31.521671904379048,1.0,36.54596370833016,34.159627753094604,1.0,41.7995466365628,41.18632505845145,1.0,127.51575590993977,94.42608020236112,
10.0,191.69793562325358,125.95825261133851,10.0,174.85364444366252,132.1292345150968,10.0,183.74478204225179,181.2471735162987,10.0,395.13628259151756,353.12668317002993,
100.0,1409.6027204449665,720.9600447570891,100.0,1080.4436752058766,728.0167020214884,100.0,921.537822091733,985.8326792828609,100.0,1815.8348107185502,1831.9986918479574,
1000.0,16431.837284473782,4127.578826952552,1000.0,6644.02546612378,4138.725385629846,1000.0,6182.869296101389,5585.871087594613,1000.0,10341.363157207703,10492.756046741646,
10000.0,647035.0387580756,23721.3285107879,10000.0,49700.96091056349,23775.68895108284,10000.0,61623.750346698645,32333.42613476642,10000.0,65088.83082680812,65576.12357662515,
