TXS, , , , , , , , , , , , NGC, , , , , , , 
delta =0.01 GeV, , ,delta =0.1 GeV, , ,delta =1.0 GeV, , ,delta =10.0 GeV, , ,delta =0.01 GeV, , ,delta =0.1 GeV, , ,delta =1.0 GeV, , ,delta =10.0 GeV, , ,
m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,
1e-05,0.0001128935667760755,0.00010821715300452604,1e-05,0.00015758761896468853,0.0001579345033468733,1e-05,0.0003218072190977844,0.0005603497029265471,1e-05,0.012898507930334863,0.011554900764113599,1e-05,0.0004251397470295759,0.00040727098953377506,1e-05,0.0005931577214422283,0.0005943937215305987,1e-05,0.0012145709069555138,0.0021107489626537427,1e-05,0.04995826926693475,0.04476656314131144,
0.0001,8.853095825935683e-05,7.464239338750703e-05,0.0001,0.0001076776108208018,8.82078729093805e-05,0.0001,0.00037708200616049317,0.00018166879263386743,0.0001,0.010843740643008084,0.004406417695783447,0.0001,0.00033218513636824583,0.0002794807142766543,0.0001,0.00040510001384222146,0.0003306537097305159,0.0001,0.0014193939682718842,0.0006750309336303434,0.0001,0.04091966467811035,0.01663067902812036,
0.001,0.00010052441377542668,7.685021469701357e-05,0.001,0.00019051581000649643,4.909148750890612e-05,0.001,0.004553286998447389,0.00010030867263290211,0.001,3.019541957772835,0.0013094535392761508,0.001,0.00034683487617866816,0.00026260731147883127,0.001,0.0007096305816436171,0.00017937815604988688,0.001,0.01713496823836579,0.00036094739707507825,0.001,11.371069068671833,0.00492086773325012,
0.01,0.00022382540938602815,0.00019302837226169416,0.01,0.0007077402559196029,6.503258438671503e-05,0.01,0.10669044502609619,6.139608080158357e-05,0.01,103.59124854020432,0.000291156370214194,0.01,0.00044020688404715054,0.00025157902035223746,0.01,0.0023739671396658217,0.00011171975363894944,0.01,0.40068147896842604,0.00016510046791018036,0.01,390.1227856186214,0.001045082675260953,
0.1,0.0035009986127968653,0.002610616868165124,0.1,0.019870661759370262,0.0005327200959491144,0.1,2.5913280436662802,0.00010145902411396304,0.1,1940.529435791196,0.0010947434757783573,0.1,0.003017843279396142,0.0007168056404517946,0.1,0.05222350027375684,0.0001064042660154992,0.1,9.581239321272514,7.50428074342619e-05,0.1,7306.49110318766,0.0008407197949175369,
1.0,0.6618517224440037,0.13609664210723968,1.0,4.232446282448671,0.003303926151906576,1.0,175.0922965148594,0.0013623026061878954,1.0,44264.77175655618,0.005362476267139869,1.0,0.7000689211086873,0.05027167157969156,1.0,10.090386320225766,0.00017106300901179418,1.0,615.7122942619313,0.00027819701193237533,1.0,166403.2967940537,0.00013978622649484597,
10.0,211.09475078504587,30.293560498389322,10.0,2234.216032048267,0.04462684572485899,10.0,44603.71221456387,0.10010882215464141,10.0,2954032.3767881175,0.39154128130332416,10.0,392.3388710430092,25.408240508079352,10.0,5473.033871587238,0.001621059975854015,10.0,152291.8548849182,0.006977711888694354,10.0,11055252.05048225,0.06924887390604749,
100.0,287566.2619807018,16592.58171324753,100.0,805631.9417927234,3.9707025375492067,100.0,21591047.917304717,5.7233600918221486,100.0,739127550.3365955,34.96555775371846,100.0,200969.65146164098,14238.224280836048,100.0,1879340.1975698033,0.22865846855466357,100.0,73029576.6316343,0.2189004515356262,100.0,2782963821.562214,2.814546340656007,
1000.0,95299253.63214724,9483940.505342964,1000.0,10000000000.0,862.8928571615783,1000.0,12860972030.478127,538.6937596759457,1000.0,10000000000.0,2199.8997528044365,1000.0,166167515.21238527,8008068.135768649,1000.0,10000000000.0,77.6138895976836,1000.0,42727786269.906296,29.586510831724024,1000.0,10000000000.0,81.84604759274008,
10000.0,10000000000.0,5334699035.634687,10000.0,10000000000.0,249189.13064723695,10000.0,10000000000.0,968469.913132756,10000.0,10000000000.0,683791.9822782734,10000.0,250727268678.3403,4506633246.026941,10000.0,10000000000.0,23794.1728876538,10000.0,10000000000.0,148783.73722629275,10000.0,10000000000.0,48139.26041890352,
