TXS, , , , , , , , , , , , NGC, , , , , , , 
delta =0.01 GeV, , ,delta =0.1 GeV, , ,delta =1.0 GeV, , ,delta =10.0 GeV, , ,delta =0.01 GeV, , ,delta =0.1 GeV, , ,delta =1.0 GeV, , ,delta =10.0 GeV, , ,
m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,
1e-05,0.00011210494689510567,0.00010821711365041777,1e-05,0.0001575873150365123,0.00015793424307493725,1e-05,0.00032180402881726636,0.000560302420387769,1e-05,0.012848478879984263,0.011537650792815657,1e-05,0.0004244636718859122,0.00040727084428706544,1e-05,0.0005931566145719665,0.0005943927608601539,1e-05,0.0012145593908126434,0.0021105805888421074,1e-05,0.04995826920282539,0.04476656310428151,
0.0001,8.863960297105632e-05,7.464232989746031e-05,0.0001,0.00010767717633863368,8.820772689058607e-05,0.0001,0.00037701878041037696,0.00018166694538445806,0.0001,0.007718587009830753,0.004306423306128237,0.0001,0.0003318510380505256,0.0002794804819691739,0.0001,0.00040509839063229014,0.0003306531723740775,0.0001,0.0014191603903345343,0.0006750244564368661,0.0001,0.03087935547403715,0.016361179476802396,
0.001,0.00010068102488339764,7.684949071304776e-05,0.001,0.00019044387338322115,4.909141068465725e-05,0.001,0.0018204939077233,0.00010030734275682662,0.001,0.019489936673119237,0.001298984647198793,0.001,0.0003476737225695385,0.0002626056293528646,0.001,0.0007093719404751874,0.00017937790651675434,0.001,0.006843775523729863,0.0003609433992615595,0.001,0.0751258803938861,0.004883854276284585,
0.01,0.0002247110567238452,0.00019239649739275725,0.01,0.0005604486586479122,6.503218290200174e-05,0.01,0.003314354822653016,6.139203068538896e-05,0.01,0.035177416757063734,0.00029086361942479486,0.01,0.0004386370211193977,0.0002515772207518184,0.01,0.0019787516819534624,0.00011171972047278564,0.01,0.012453622112453112,0.00016509741189049205,0.01,0.1346989063034013,0.0010442177228977738,
0.1,0.0007576999196567055,0.000685668045768404,0.1,0.0013160591941395229,0.000511178144444058,0.1,0.0067239680281679535,0.0001014381363006918,0.1,0.0651990646638971,0.0005851065370091889,0.1,0.0015497550603632245,0.0007133350152528778,0.1,0.0039978654824573395,0.00010640356303812351,0.1,0.025154833592787394,7.504224786727509e-05,0.1,0.2502416408018078,0.0008365573086462407,
1.0,0.0037260745455844416,0.0034819235750942748,1.0,0.005845935318402631,0.0019243100643333603,1.0,0.018771251141641673,0.0012572358998098716,1.0,0.12905391778297323,0.0006822186285211727,1.0,0.007897464651351169,0.004131690518367566,1.0,0.01565483023421681,0.0001709659597229057,1.0,0.06793409779467995,0.0002718458308573891,1.0,0.4997152171542168,0.00013978412392528838,
10.0,0.022261855775360568,0.019991286262904577,10.0,0.0331620679391747,0.009208551698386665,10.0,0.07997858613072448,0.005925324171029775,10.0,0.3642634911182871,0.003530561141118828,10.0,0.04237887997538353,0.024055829298064227,10.0,0.08749481288370772,0.0012342077528767511,10.0,0.2829519213256497,0.0006906533704897314,10.0,1.4233561883306205,0.0014608045259479363,
100.0,0.1264132812791058,0.11510223501019767,100.0,0.17362372988488498,0.05052253942245082,100.0,0.45367016077360217,0.027168771335584346,100.0,1.7852164722874335,0.02192147926950789,100.0,0.2511063738882154,0.1391734840159642,100.0,0.5151711863848105,0.006812301789753319,100.0,1.6782788324897746,0.0024082971901514287,100.0,7.518516301942056,0.0029038935520191832,
1000.0,1.8621127228912904,0.6635792127169351,1000.0,1.0612404458911513,0.2869272251447563,1000.0,3.115539304173666,0.1459010322905681,1000.0,10000000000.0,0.09534191110491555,1000.0,2.158931510641951,0.80223793498692,1000.0,3.1579439195968044,0.03586833160585249,1000.0,13.16430595005736,0.011395299702077978,1000.0,10000000000.0,0.009838356238235467,
10000.0,165107677862.778,3.9571139356357197,10000.0,10.691857735814203,1.6420524176186793,10000.0,10000000000.0,0.8259501164051893,10000.0,10000000000.0,0.5145209914066331,10000.0,90301682222.98985,4.705786723549606,10000.0,106.67150348478363,0.18151703464825533,10000.0,10000000000.0,0.0755787800386443,10000.0,10000000000.0,0.04334717135656356,
