TXS, , , , , , , , , , , , NGC, , , , , , , 
delta =0.01 GeV, , ,delta =0.1 GeV, , ,delta =1.0 GeV, , ,delta =10.0 GeV, , ,delta =0.01 GeV, , ,delta =0.1 GeV, , ,delta =1.0 GeV, , ,delta =10.0 GeV, , ,
m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,
1e-05,1179.4438496782936,1110.4403194743315,1e-05,1178.487899821793,1118.3915017977329,1e-05,1763.3289087112232,1791.669174000944,1e-05,5503.710290940742,8519.679147141058,1e-05,4439.744351448701,4179.880997337709,1e-05,4437.592432589918,4209.837521615508,1e-05,6654.815334140132,6747.347234180869,1e-05,20816.198137102307,33003.505283501625,
0.0001,966.9180745544292,802.5048413743639,0.0001,969.119937070842,792.2760180909233,0.0001,1258.7174943727687,987.7623495405259,0.0001,3768.3327510558734,3768.8482155442457,0.0001,3628.5979880547034,3020.314874788969,0.0001,3638.8782525598263,2981.860192332501,0.0001,4789.4751463295515,3715.933152277298,0.0001,14440.030380074768,14224.223419200474,
0.001,1058.1632976563517,800.3113319723151,0.001,1141.674572431139,777.3681188673663,0.001,4447.122307495606,549.2334352083758,0.001,300541.8676003122,1373.5319184280509,0.001,3976.2891626674614,3001.927446085695,0.001,4322.847716775913,2915.982012299347,0.001,17057.605768756323,2061.1514891337147,0.001,1131279.3865837525,5161.9449122230835,
0.01,1261.9081588300755,1158.0673111675192,0.01,2228.317015032626,992.485511847636,0.01,26492.064727014884,395.68252534818856,0.01,1981657.4801113033,404.5108927346819,0.01,3897.5284775245746,3380.941006735438,0.01,7751.551907432306,2742.76323904011,0.01,100095.14831051826,1439.182214434792,0.01,7456439.316977995,1453.2296120456206,
0.1,5699.131767633579,5190.535900365805,0.1,14754.686032524918,3817.091308185561,0.1,170777.48391362155,578.362098185638,0.1,13259289.244401846,485.3579922275922,0.1,9908.208314175781,6403.291959256263,0.1,42221.48398703551,2248.749509001965,0.1,635194.2063258382,1128.4887814111448,0.1,49851809.71153718,754.9480232850825,
1.0,177448.07170284944,122594.2358504776,1.0,307116.1901060079,30602.13147462376,1.0,1920727.1546803766,4152.909040468314,1.0,128475149.54191387,2373.900224599853,1.0,306082.74773829244,70989.85852125459,1.0,874493.790610472,1577.401109143311,1.0,6885124.800514548,1102.9243551995844,1.0,477785442.1031687,411.5743985703922,
10.0,10035942.76735467,3999672.349314975,10.0,18343555.651195526,107223.86738588898,10.0,102949399.49356987,91168.72718310938,10.0,5713742759.709343,68497.18576575042,10.0,16242091.107348176,3684017.2730765925,10.0,48437390.53998208,3942.4986414518667,10.0,358551270.7710985,6198.091155070788,10.0,21562854619.080414,15992.53953898119,
100.0,1672594208.8734715,284781988.28197855,100.0,5682783396.543614,1418657.9768297013,100.0,41955204944.986595,1239783.4366939326,100.0,1276213688792.2441,1727859.0020208373,100.0,2315216636.762855,253875366.62915847,100.0,14564105217.380503,82192.37835282559,100.0,144766191346.19238,47989.14813440154,100.0,4794569963378.35,134811.13090393954,
1000.0,1373656064335.9185,93443933684.10448,1000.0,3373757516163.9575,37257056.950642645,1000.0,23885647566661.203,18861197.611325134,1000.0,10000000000.0,28147716.670400664,1000.0,970850017770.3475,79121882078.52087,1000.0,7815388896584.958,3368297.760659819,1000.0,81659638189968.02,1040334.4655254381,1000.0,10000000000.0,1056633.3061395362,
10000.0,10000000000.0,51984887869617.6,10000.0,3614355535310134.0,2728274959.995487,10000.0,10000000000.0,8350537013.075077,10000.0,10000000000.0,3162725912.9167676,10000.0,10000000000.0,43978766022457.38,10000.0,5472240152295641.0,260519152.20802367,10000.0,10000000000.0,1282102503.3508897,10000.0,10000000000.0,222757443.3434122,
