TXS, , , , , , , , , , , , NGC, , , , , , , 
delta =0.01 GeV, , ,delta =0.1 GeV, , ,delta =1.0 GeV, , ,delta =10.0 GeV, , ,delta =0.01 GeV, , ,delta =0.1 GeV, , ,delta =1.0 GeV, , ,delta =10.0 GeV, , ,
m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,
1e-05,0.11151147617384521,0.10619549278435778,1e-05,0.1100481720035952,0.10684978788753231,1e-05,0.1490634436558583,0.15387939564221642,1e-05,0.8921711138534626,0.8613657424659514,1e-05,0.4212535323579871,0.4007426880411352,1e-05,0.4145318536731686,0.4032373015178663,1e-05,0.5677301797461183,0.585769249542876,1e-05,3.5840938252792585,3.433077967622534,
0.0001,0.07656850004318252,0.07084053155328736,0.0001,0.07649345691937601,0.07032331152948926,0.0001,0.09319327667310634,0.0843473150951817,0.0001,0.3243533652157804,0.2619329912440477,0.0001,0.2890654724515396,0.2668589094692929,0.0001,0.2883264961682183,0.2649055089150017,0.0001,0.35042113019611965,0.31795845685331087,0.0001,1.349062291344754,1.0635715924945992,
0.001,0.05421660150856958,0.04978893951306371,0.001,0.05523457276265085,0.04956313182433058,0.001,0.07391326148690706,0.04642734498043222,0.001,0.40390293119589477,0.10434911599921715,0.001,0.20458585685621813,0.1873271228945011,0.001,0.20818476547760423,0.18646855652220556,0.001,0.27928677488582637,0.17451601313644635,0.001,1.561596718711186,0.39711211920422257,
0.01,0.0419205427490053,0.03921926777168465,0.01,0.047889392781303226,0.03896220692602714,0.01,0.0888790715215761,0.029134084226774912,0.01,0.7197246616753701,0.03443329869016461,0.01,0.1567594448319688,0.14645070973501975,0.01,0.17912238519288692,0.1454436724384931,0.01,0.3367581844357067,0.1079526241973161,0.01,2.766194417009975,0.12663193417303462,
0.1,0.045795225524549274,0.04637067678489163,0.1,0.057233098328890425,0.04505797078423776,0.1,0.15359835047916212,0.0282228583945693,0.1,1.3202320466558086,0.015898979316721403,0.1,0.1535472664040124,0.15379730834576139,0.1,0.1988756626395695,0.1472436958281473,0.1,0.5765627741179585,0.08405781288248802,0.1,5.118587563161367,0.05484715808532681,
1.0,0.1356091902427342,0.14040528079399292,1.0,0.15807365841853954,0.12693542151456064,1.0,0.36377548777339996,0.060921408434296144,1.0,2.5539038035949853,0.02393910740475372,1.0,0.39193465939540584,0.40551273123999965,1.0,0.49742462057855286,0.14037536120835625,1.0,1.3319118070219496,0.0736371906329634,1.0,9.934697201691211,0.037278661283665915,
10.0,0.7323823272424176,0.736465380262749,10.0,0.7961529553485105,0.6529484299593713,10.0,1.4538407729890834,0.2476217773232693,10.0,6.6194363888549255,0.09759510001011776,10.0,2.241631478491706,2.1027924701734557,10.0,2.4536368772885733,0.21612370124164845,10.0,5.16760567173537,0.07619809458182664,10.0,25.88987602491464,0.07087564338402386,
100.0,4.950786000806718,4.215251363229176,100.0,4.542741626076684,3.722593826691419,100.0,8.129484864415959,1.3114437019626162,100.0,31.27771783392895,0.41380396836094013,100.0,12.247108157728173,12.101271165006253,100.0,14.401086094857492,0.67769340317001,100.0,30.120039619942,0.20629042099650166,100.0,131.80042565801264,0.13389677875196226,
1000.0,25.804385881980675,25.525627307594426,1000.0,28.202770215609608,21.64211596742824,1000.0,57.13739760142318,7.228257098383425,1000.0,10000000000.0,2.016745519518389,1000.0,161.5977608698062,75.7913728803662,1000.0,90.01275066041264,3.5065518404487297,1000.0,243.21865153476622,0.9615182051922812,1000.0,10000000000.0,0.440769069045338,
10000.0,10000000000.0,197.1677559149996,10000.0,176.52938541216076,125.87177964409777,10000.0,10000000000.0,41.481583249634696,10000.0,10000000000.0,11.023792828457516,10000.0,873.9914132750763,448.0476277743286,10000.0,892.0070603380163,17.745192102270885,10000.0,10000000000.0,6.375672753645405,10000.0,10000000000.0,1.9386204863191905,
