TXS, , , , , , , , , , , , NGC, , , , , , , 
delta =0.01 GeV, , ,delta =0.1 GeV, , ,delta =1.0 GeV, , ,delta =10.0 GeV, , ,delta =0.01 GeV, , ,delta =0.1 GeV, , ,delta =1.0 GeV, , ,delta =10.0 GeV, , ,
m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,
1e-05,0.030945573109427055,0.03147285806806258,1e-05,0.046092204121268736,0.04771649748216445,1e-05,0.09453875620772179,0.16978636439432143,1e-05,3.7924021064584292,3.5017024573295292,1e-05,0.11631618861788882,0.11844316971192262,1e-05,0.17348763766923203,0.179583279772791,1e-05,0.35680996561533823,0.6395584004303674,1e-05,14.688663606151609,13.566467261056346,
0.0001,0.02127591339598001,0.019282413167284695,0.0001,0.02648675980049516,0.02705477747226927,0.0001,0.09519980648302587,0.057266547933440104,0.0001,2.7359755759105178,1.3891176409081034,0.0001,0.07948587968808289,0.07197740114151878,0.0001,0.0995310279865813,0.10142624140837596,0.0001,0.35832485934869157,0.21278862336836943,0.0001,10.324400430720852,5.242800643291936,
0.001,0.02133429357636523,0.01801552804658732,0.001,0.01794536122762873,0.016070697293158485,0.001,0.05170964768215465,0.03951573200569821,0.001,1.9231947568983683,0.517189703142155,0.001,0.07324224299327887,0.05787465731354637,0.001,0.0641934523579264,0.05874045989094011,0.001,0.19384737281463985,0.1422265111752721,0.001,7.240152346312479,1.9435758182009575,
0.01,0.048419981614809954,0.047066999244092064,0.01,0.04462373725093355,0.03734800096325779,0.01,0.03918717564875885,0.03841872955286081,0.01,0.18610088110893386,0.1862749460053603,0.01,0.08511950653915741,0.07092492991467741,0.01,0.0904902729825632,0.06022961717091616,0.01,0.1312696630141859,0.10425294918229268,0.01,0.6981694414290949,0.6686193722849169,
0.1,0.4618119492961692,0.470988160158353,0.1,0.4882849648684822,0.45188339064172955,0.1,0.10682039980144342,0.06725144906384772,0.1,1.478722908864018,0.8217854750473367,0.1,0.14274521149889918,0.13743423482307457,0.1,0.19020799836961688,0.13426604759198238,0.1,0.2185475773376727,0.05236623891299227,0.1,5.095689339786899,0.630946644740861,
1.0,7.509810084589581,6.670843237710822,1.0,8.348507406690256,6.644246289444817,1.0,15.569381945237536,1.1609715781068417,1.0,194.62476736595167,4.9024507558388155,1.0,0.41651770282636713,0.4540866697548371,1.0,0.6898188539752556,0.44090382287288893,1.0,4.268554614353337,0.21666864225102417,1.0,404.2377164561845,0.12823847968829585,
10.0,281.4694684116421,193.71987357434463,10.0,323.0600168113166,198.4228739723927,10.0,2731.6997795740504,76.2232024391763,10.0,47861.065188765926,6148.980106800256,10.0,24.701911629148636,23.38320093450241,10.0,38.889723035153125,15.900565427611811,10.0,574.2362733224878,5.256854056360201,10.0,53624.511594969445,1319.417762136519,
100.0,443415.08543610136,39852.99768824695,100.0,1926239.8329728239,32575.605206672077,100.0,703283.1285229902,4882.163201213388,100.0,11492314.04050638,1783795.50073938,100.0,13581.887645713556,9481.079397699365,100.0,1118504.6445202332,5484.926463543823,100.0,252784.03381412683,186.9407105495447,100.0,12754372.411749564,366619.09857804206,
1000.0,166374515.0217556,12213345.29090489,1000.0,19501280262.062546,11541562.313034259,1000.0,465002366.82296866,470845.42317769077,1000.0,4902137409.495023,487615692.7592797,1000.0,6370217.966439093,5233976.126671753,1000.0,33222745204.19771,2920032.4447833323,1000.0,312153267.819061,25865.16395174908,1000.0,6365775141.1942625,174869093.2420012,
10000.0,102472600022.20288,5903063925.967928,10000.0,1698027020015.1199,5130785818.171118,10000.0,813112070794.4534,83932270.53485586,10000.0,4072142443210.4087,177027792968.94998,10000.0,224302457764.00143,2903256305.8723426,10000.0,2089567857255.723,1608719979.625054,10000.0,613678137018.9287,7769362.134479545,10000.0,5261745997041.911,96605811775.24825,
