TXS, , , , , , , , , , , , NGC, , , , , , , 
delta =0.01 GeV, , ,delta =0.1 GeV, , ,delta =1.0 GeV, , ,delta =10.0 GeV, , ,delta =0.01 GeV, , ,delta =0.1 GeV, , ,delta =1.0 GeV, , ,delta =10.0 GeV, , ,
m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,
1e-05,0.0005250193995165814,0.00047027423202304766,1e-05,0.0006056731195197235,0.0005865700595595302,1e-05,0.0011911047289112908,0.002204153719948781,1e-05,0.08833695398869947,0.11583611670214237,1e-05,0.001978129411123604,0.0017699457613661134,1e-05,0.002279747924681136,0.0022075992674389163,1e-05,0.004495497770383037,0.008302751495485858,1e-05,0.34334297952112075,0.4494167711652312,
0.0001,0.0008299800972249153,0.0006777032422848082,0.0001,0.000780253846891409,0.0006939406304200012,0.0001,0.0020618857352258644,0.0012014111190510018,0.0001,0.05834507874853465,0.04662202548736354,0.0001,0.003118311002187439,0.0025423198813780946,0.0001,0.0029346990438755744,0.0026031659068714,0.0001,0.00776109614604066,0.004464008753807116,0.0001,0.23417389877378486,0.17707287554419363,
0.001,0.0018136816160071272,0.0013740937810399864,0.001,0.0014562834024738182,0.0010763438173981806,0.001,0.002291917835649681,0.0016209211147787848,0.001,0.05163230166184793,0.023332697129538716,0.001,0.0064898749982564554,0.0048180854691275,0.001,0.005321089318802164,0.003951078071913813,0.001,0.008613075982748221,0.0058369913324862075,0.001,0.19678465720223284,0.08773309472539421,
0.01,0.006884062906816686,0.00607070125747987,0.01,0.007345490355867748,0.005545938506820314,0.01,0.004255136369705623,0.003623043967967761,0.01,0.020650253312262494,0.016642267176837554,0.01,0.01631241114446761,0.012998233454633993,0.01,0.01807852403848985,0.011857662444168193,0.01,0.015174074248185513,0.009898748894046053,0.01,0.0776815799853672,0.05974796732916402,
0.1,0.0313006384082011,0.03203277348393007,0.1,0.03472175052680585,0.03239883284236135,0.1,0.05203967063096557,0.04340652304094095,0.1,0.32528243235384946,0.2456943621457295,0.1,0.05278448766062085,0.051416710341791495,0.1,0.06557916030421218,0.05123186509941655,0.1,0.13553361263282004,0.0961533802431738,0.1,1.2097366093669903,0.9110305585363296,
1.0,0.21349958163498553,0.2193190686900641,1.0,0.2333777141266292,0.23189157954238865,1.0,0.34533576670129723,0.3073786629458879,1.0,1.2318465996296555,0.9522327199480228,1.0,0.2795347902565989,0.2994435314265893,1.0,0.3307162110909354,0.32459623654278874,1.0,0.7138717148301195,0.577188583531198,1.0,4.299091410657738,0.22959123343199644,
10.0,3.5834883519268814,4.073470434248866,10.0,3.8288189212144474,4.091164299080138,10.0,4.340343089420833,4.364360196977455,10.0,9.14794252402278,7.762964545453372,10.0,2.74058714738867,2.0613338936055094,10.0,2.0849374129996003,1.9354071427147206,10.0,3.7820273709895607,0.9740289560785956,10.0,15.58160643641033,4.042076890511706,
100.0,61.15879278440308,30.726671673757032,100.0,46.981093376474526,30.894287913096047,100.0,35.807501666308596,31.57965831126804,100.0,48.53492958822974,34.54081636346311,100.0,18.173940048288923,11.02113497398893,100.0,12.036109965681401,10.134938664021888,100.0,19.847243301719086,3.1691187823986566,100.0,63.545270151480615,16.66897976352334,
1000.0,1187.9610183717396,175.99431153608276,1000.0,294.689311235888,175.60268976843122,1000.0,172.45478742622802,172.45451213660124,1000.0,271.70713695425235,155.95765919979831,1000.0,137.93777222020898,63.116964167516755,1000.0,70.56585161099115,57.82212454778253,1000.0,110.07894618549466,14.637472610825062,1000.0,347.54655472938384,91.18015708162065,
10000.0,2040.46157408292,1011.5865857376684,10000.0,2531.40789244612,1008.7403433712512,10000.0,1851.3726768131194,981.2846235177094,10000.0,1537.4321471892492,846.601580391938,10000.0,871.4722022206745,364.24213371483484,10000.0,403.2190109939095,333.9544218136784,10000.0,723.7177924239353,73.09470444899517,10000.0,2095.0997691491325,523.7396899203425,
