TXS, , , , , , , , , , , , NGC, , , , , , , 
delta =0.01 GeV, , ,delta =0.1 GeV, , ,delta =1.0 GeV, , ,delta =10.0 GeV, , ,delta =0.01 GeV, , ,delta =0.1 GeV, , ,delta =1.0 GeV, , ,delta =10.0 GeV, , ,
m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,
1e-05,143.10762896936515,81.77416351472637,1e-05,100.91256923960229,81.79981366325143,1e-05,95.13763647642513,83.58298830790372,1e-05,292.0478315508326,376.00447362944936,1e-05,546.5509583904977,326.78418482972944,1e-05,397.1961951798547,326.8821240586273,1e-05,385.1605424497442,335.92030380766664,1e-05,1204.3108063346765,1627.1833176426212,
0.0001,147.84805793433105,84.69284061345878,0.0001,104.51789407058902,84.72977657586411,0.0001,97.83335048767893,85.02168223903061,0.0001,117.595221935615,104.96581120482364,0.0001,563.8441779244012,339.67250034503536,0.0001,415.3676545163883,339.82290983845695,0.0001,394.4217198589231,341.2870713770696,0.0001,507.872807920453,452.08946225664386,
0.001,148.20328273957605,87.86496484521263,0.001,108.99520053351938,87.90048855170795,0.001,101.5903206911762,87.97097701995767,0.001,104.53282997859169,90.8370482213195,0.001,568.8887549841329,352.8428598408354,0.001,432.03936111708373,352.99656450898283,0.001,410.89324516829447,353.3260002036406,0.001,426.9641869008426,368.47071077412335,
0.01,138.98860285428606,96.20889992163733,0.01,115.68801153912572,96.24005234818907,0.01,112.56562249998322,96.28456349973627,0.01,113.65076284969714,96.86787535648493,0.01,531.8715986037981,382.60398423771716,0.01,457.50658128355036,382.72986722962054,0.01,450.5290627814777,382.91760782242415,0.01,454.7810810085719,385.7926462024286,
0.1,135.61927709614707,124.1462296746069,0.1,133.86746965494638,124.15569681061717,0.1,146.56291302919922,124.197791016366,0.1,150.76134962155004,124.8174677973163,0.1,524.036398688617,480.884520429548,0.1,520.0054446751618,480.9041985054571,0.1,568.9046543850463,481.0867349380779,0.1,589.1437623250836,483.9293917432197,
1.0,192.71784698678366,191.47591202995446,1.0,188.18337569817388,191.47613265142948,1.0,207.44333450779314,191.5212888832209,1.0,242.41159336778034,195.03716254953636,1.0,704.554289623841,717.6495092413601,1.0,706.8914288150085,717.6708310677325,1.0,781.1998674471715,718.1666211283344,1.0,923.4174244957907,736.0530729620639,
10.0,417.7281893606578,410.71348713410725,10.0,397.34482724802746,410.97617182215214,10.0,406.3710217174155,413.2684970611861,10.0,517.9094189076479,444.2607554063657,10.0,1366.435163719845,1337.1769000898148,10.0,1273.0507985449885,1338.691474268434,10.0,1349.77924351062,1353.17541164916,10.0,1818.0170325590825,1521.9060782509464,
100.0,5068.547676089672,3132.0791215720487,100.0,3072.7273972812745,3133.833374107046,100.0,3120.54922430258,3150.148625965414,100.0,3407.2379943484816,3315.227666577437,100.0,9771.495481582304,11080.94059877378,100.0,11329.102144630031,11088.83935951183,100.0,11133.414067781261,10565.073109732622,100.0,12392.313342513737,10627.598086307837,
1000.0,81874.16969063453,56256.906245789585,1000.0,105578.65336763884,56132.09961961023,1000.0,77437.3544132059,55275.52243296717,1000.0,83702.64156750198,49870.710373804344,1000.0,40210.582785139355,23077.444019405357,1000.0,29541.551007260456,21673.310313444494,1000.0,35559.33803796258,10489.490218555096,1000.0,110792.40430116885,26908.43851001774,
10000.0,1820074143968385.8,320949.4528341272,10000.0,235487.38045099014,320045.7714636889,10000.0,320743.7978221752,311669.3968370335,10000.0,598787.4093133342,268545.68546917586,10000.0,10085630000397.303,120128.60057534845,10000.0,122565.62585564489,110712.08094797457,10000.0,283534.7921575842,25709.81408728291,10000.0,648354.3464992752,149641.43352202725,
